P_load1_MW,Q_load1_MVAr,P_load2_MW,Q_load2_MVAr,P_load4_MW,Q_load4_MVAr,P_solar_MW,Q_solar_MVAr,Vm_bus1_pu,Vm_bus2_pu,Vm_bus3_pu,Vm_bus4_pu,Va_bus1_deg,Va_bus2_deg,Va_bus3_deg,Va_bus4_deg,split
1.5030456,0.5010152,2.378446,0.8324561,0.8893005,0.26679015,0.57130456,0.099240325,0.9928878,0.987389,0.98814976,0.98513746,0.07918331,0.14411579,0.14142495,0.16292112,train
1.4434156,0.48113856,2.3367543,0.817864,0.9997708,0.29993126,0.52567554,-0.21394502,0.99272674,0.9869164,0.9875656,0.98438245,0.10743734,0.20811957,0.22862124,0.22963023,train
1.4723989,0.49079964,1.6751083,0.5862879,1.1563754,0.34691262,1.0069399,-0.09699295,0.9943596,0.99056125,0.99185026,0.9876391,0.09165343,0.17224099,0.18847395,0.19735347,train
1.471548,0.490516,2.0015407,0.70053923,1.0568393,0.31705183,0.6873953,0.17358996,0.99350846,0.9886883,0.989611,0.98601377,0.06797337,0.11996027,0.11281275,0.1427664,train
1.4821764,0.49405882,2.2195368,0.7768378,1.1184763,0.3355429,0.66363084,0.21803856,0.99298024,0.98754936,0.98844975,0.98471475,0.069259286,0.12260497,0.11186118,0.14696728,train
1.5217108,0.5072369,1.8285607,0.63999623,1.0583932,0.31751797,0.3093124,0.17489989,0.9930979,0.98788744,0.9883204,0.9852068,0.060805313,0.10296063,0.09201821,0.12584598,train
1.5501356,0.5167119,2.0224454,0.7078559,0.84708345,0.25412503,1.4071059,0.06852614,0.99484986,0.9917949,0.9936264,0.9896604,0.08473863,0.15510365,0.16279043,0.17270218,train
1.5515387,0.51717955,2.3543744,0.82403105,0.97462857,0.29238856,1.3866646,-0.015065408,0.9940103,0.9899545,0.9917489,0.9874922,0.10114932,0.19147307,0.20525737,0.2122274,train
1.2192858,0.40642864,1.9620987,0.68673456,0.98099285,0.29429784,1.4474252,0.11753367,0.9953604,0.9922483,0.99413913,0.98977566,0.0752854,0.14174859,0.14616089,0.16254723,train
1.5808312,0.52694374,1.8604039,0.65114135,0.9138881,0.27416644,1.05076,-0.15770298,0.9943315,0.9907191,0.99205434,0.9884128,0.09979043,0.18774147,0.2089365,0.20699473,train
1.6727103,0.5575701,2.2549367,0.78922784,1.0407974,0.3122392,1.3064767,-0.26536345,0.9936757,0.9894662,0.99111587,0.9868345,0.12469981,0.2408415,0.27264142,0.26321933,train
1.6891651,0.56305504,1.649717,0.5774009,1.0985569,0.32956704,0.8318785,0.20531638,0.99391454,0.9900202,0.991134,0.98724335,0.0643003,0.1068004,0.09869288,0.13054581,train
1.5813433,0.52711445,1.9567796,0.68487287,1.0357039,0.31071118,1.06236,0.041358866,0.9940198,0.99003446,0.991419,0.98741734,0.085458405,0.15607466,0.16249135,0.17830053,train
1.5459408,0.51531357,1.9435875,0.68025565,0.96032345,0.28809702,1.4810879,-0.05815813,0.99489117,0.991878,0.9937836,0.9894568,0.09742735,0.18323496,0.20108846,0.20355389,train
