datetime,shortwave_radiation_instant (W/m²)
2024-05-16 00:00:00,0
2024-05-16 00:30:00,0
2024-05-16 01:00:00,0
2024-05-16 01:30:00,0
2024-05-16 02:00:00,0
2024-05-16 02:30:00,0
2024-05-16 03:00:00,0
2024-05-16 03:30:00,0
2024-05-16 04:00:00,0
2024-05-16 04:30:00,0
2024-05-16 05:00:00,0
2024-05-16 05:30:00,10
2024-05-16 06:00:00,60
2024-05-16 06:30:00,132
2024-05-16 07:00:00,216
2024-05-16 07:30:00,305
2024-05-16 08:00:00,396
2024-05-16 08:30:00,488
2024-05-16 09:00:00,574
2024-05-16 09:30:00,655
2024-05-16 10:00:00,730
2024-05-16 10:30:00,797
2024-05-16 11:00:00,853
2024-05-16 11:30:00,895
2024-05-16 12:00:00,924
2024-05-16 12:30:00,942
2024-05-16 13:00:00,946
2024-05-16 13:30:00,931
2024-05-16 14:00:00,902
2024-05-16 14:30:00,868
2024-05-16 15:00:00,822
2024-05-16 15:30:00,763
2024-05-16 16:00:00,694
2024-05-16 16:30:00,616
2024-05-16 17:00:00,533
2024-05-16 17:30:00,445
2024-05-16 18:00:00,355
2024-05-16 18:30:00,252
2024-05-16 19:00:00,179
2024-05-16 19:30:00,80
2024-05-16 20:00:00,33
2024-05-16 20:30:00,2
2024-05-16 21:00:00,0
2024-05-16 21:30:00,0
2024-05-16 22:00:00,0
2024-05-16 22:30:00,0
2024-05-16 23:00:00,0
2024-05-16 23:30:00,0
2024-05-17 00:00:00,0
2024-05-17 00:30:00,0
2024-05-17 01:00:00,0
2024-05-17 01:30:00,0
2024-05-17 02:00:00,0
2024-05-17 02:30:00,0
2024-05-17 03:00:00,0
2024-05-17 03:30:00,0
2024-05-17 04:00:00,0
2024-05-17 04:30:00,0
2024-05-17 05:00:00,0
2024-05-17 05:30:00,13
2024-05-17 06:00:00,68
2024-05-17 06:30:00,144
2024-05-17 07:00:00,231
2024-05-17 07:30:00,322
2024-05-17 08:00:00,415
2024-05-17 08:30:00,507
2024-05-17 09:00:00,595
2024-05-17 09:30:00,677
2024-05-17 10:00:00,752
2024-05-17 10:30:00,818
2024-05-17 11:00:00,873
2024-05-17 11:30:00,916
2024-05-17 12:00:00,948
2024-05-17 12:30:00,968
2024-05-17 13:00:00,971
2024-05-17 13:30:00,960
2024-05-17 14:00:00,934
