datetime,Solar Radiation (W/m^2)
2024-05-16 00:00:00,0.0
2024-05-16 00:30:00,0.0
2024-05-16 01:00:00,0.0
2024-05-16 01:30:00,0.0
2024-05-16 02:00:00,0.0
2024-05-16 02:30:00,0.0
2024-05-16 03:00:00,0.0
2024-05-16 03:30:00,0.0
2024-05-16 04:00:00,0.0
2024-05-16 04:30:00,0.0
2024-05-16 05:00:00,0.0
2024-05-16 05:30:00,3.8
2024-05-16 06:00:00,20.3
2024-05-16 06:30:00,48.9
2024-05-16 07:00:00,121.8
2024-05-16 07:30:00,203.8
2024-05-16 08:00:00,288.5
2024-05-16 08:30:00,366.0
2024-05-16 09:00:00,529.2
2024-05-16 09:30:00,626.4
2024-05-16 10:00:00,742.2
2024-05-16 10:30:00,800.3
2024-05-16 11:00:00,766.9
2024-05-16 11:30:00,764.4
2024-05-16 12:00:00,724.8
2024-05-16 12:30:00,660.6
2024-05-16 13:00:00,717.9
2024-05-16 13:30:00,732.2
2024-05-16 14:00:00,678.8
2024-05-16 14:30:00,613.4
2024-05-16 15:00:00,647.6
2024-05-16 15:30:00,610.7
2024-05-16 16:00:00,477.6
2024-05-16 16:30:00,420.7
2024-05-16 17:00:00,386.9
2024-05-16 17:30:00,322.2
2024-05-16 18:00:00,249.4
2024-05-16 18:30:00,208.6
2024-05-16 19:00:00,83.7
2024-05-16 19:30:00,43.8
2024-05-16 20:00:00,19.4
2024-05-16 20:30:00,0.4
2024-05-16 21:00:00,0.0
2024-05-16 21:30:00,0.0
2024-05-16 22:00:00,0.0
2024-05-16 22:30:00,0.0
2024-05-16 23:00:00,0.0
2024-05-16 23:30:00,0.0
2024-05-17 00:00:00,0.0
2024-05-17 00:30:00,0.0
2024-05-17 01:00:00,0.0
2024-05-17 01:30:00,0.0
2024-05-17 02:00:00,0.0
2024-05-17 02:30:00,0.0
2024-05-17 03:00:00,0.0
2024-05-17 03:30:00,0.0
2024-05-17 04:00:00,0.0
2024-05-17 04:30:00,0.0
2024-05-17 05:00:00,0.0
2024-05-17 05:30:00,6.8
2024-05-17 06:00:00,22.9
2024-05-17 06:30:00,52.0
2024-05-17 07:00:00,124.4
2024-05-17 07:30:00,198.7
2024-05-17 08:00:00,286.3
2024-05-17 08:30:00,350.9
2024-05-17 09:00:00,536.6
2024-05-17 09:30:00,583.9
2024-05-17 10:00:00,740.0
2024-05-17 10:30:00,779.9
2024-05-17 11:00:00,747.4
2024-05-17 11:30:00,766.1
2024-05-17 12:00:00,704.4
2024-05-17 12:30:00,630.3
2024-05-17 13:00:00,691.0
2024-05-17 13:30:00,689.7
2024-05-17 14:00:00,662.0
2024-05-17 14:30:00,647.2
2024-05-17 15:00:00,668.0
2024-05-17 15:30:00,564.8
2024-05-17 16:00:00,447.3
2024-05-17 16:30:00,412.9
2024-05-17 17:00:00,369.1
2024-05-17 17:30:00,315.8
2024-05-17 18:00:00,237.7
2024-05-17 18:30:00,156.1
2024-05-17 19:00:00,59.3
2024-05-17 19:30:00,36.8
2024-05-17 20:00:00,12.5
2024-05-17 20:30:00,0.0
2024-05-17 21:00:00,0.0
2024-05-17 21:30:00,0.0
2024-05-17 22:00:00,0.0
2024-05-17 22:30:00,0.0
2024-05-17 23:00:00,0.0
2024-05-17 23:30:00,0.0
2024-05-18 00:00:00,0.0
2024-05-18 00:30:00,0.0
2024-05-18 01:00:00,0.0
2024-05-18 01:30:00,0.0
2024-05-18 02:00:00,0.0
2024-05-18 02:30:00,0.0
2024-05-18 03:00:00,0.0
2024-05-18 03:30:00,0.0
2024-05-18 04:00:00,0.0
